"region_code"	"adjust"
0	1.42388846586396
120000	1.3266042937828
130000	1.36943049390107
130100	0.5
130200	1.36338480212809
130300	1.05349460042272
130400	1.31400390795807
130500	1.32823465409138
130600	1.24849008602722
130700	1.01519288137346
130800	1.23332221400352
130900	1.20175922077724
131000	1.16677000066669
131100	1.05564651158325
140100	0.5
140200	0.610388455467077
140300	0.5
140400	0.844880785292637
140500	0.932448588479598
140600	0.664870342737793
140700	0.822161584350069
140800	1.06716182512864
140900	0.808494121509807
141000	1.31507908506032
141100	1.20834074134333
150100	0.5
150200	0.5
150300	0.5
150400	0.594148449869749
150500	0.797102539343367
150600	0.733880052551738
150700	0.5
150800	0.880747486508562
150900	0.713574513844091
152200	1.39645276994072
152500	1.42786673586982
152900	2
210100	0.5
210200	0.5
210300	0.775715335520524
210400	0.5
210500	0.5
210600	0.789675361059396
210700	0.655982218140518
210800	0.913721560910633
210900	0.5
211000	0.5
211100	0.5
211200	0.5
211300	0.750566683101099
211400	0.651589398867516
220100	0.747637473929155
220200	0.818697725267852
220300	0.815173756078814
220400	0.789283726967847
220500	0.763055800890372
220600	0.741699081518979
220700	0.598487305522892
220800	0.849675044821053
222400	1.00869618027959
230100	1.36231519134207
230200	2
230300	1.92742358333191
230400	2
230500	1.88102832136649
230600	2
230700	2
230800	1.98968074962639
230900	1.8490487241591
231000	2
231100	1.80393657622383
231200	1.82593184620462
232700	1.84029802305261
310000	1.60422106845149
320100	0.5
320200	0.629032212627896
320300	1.65978046583997
320400	1.49647250010417
320500	0.676465952997258
320600	2
320700	1.7829485747237
320800	2
320900	1.51850288876803
321000	1.43270269539416
321100	2
321200	1.87802654889687
321300	1.4078329094629
330100	0.638629346720286
330200	1.57823049849417
330300	0.5
330400	1.74727138823089
330500	1.54019289770722
330600	1.53809992575802
330700	1.70811287623463
330800	1.43572413254493
330900	1.42615581304781
331000	1.3138028551477
331100	1.43214212974371
340000	2
340100	0.5
340200	1.38575486078148
340300	1.4088392941116
340400	1.63398501546218
340500	1.423322608216
340600	1.38695763433175
340700	1.50421635394564
340800	1.97162027528023
341000	1.32650509152784
341100	0.594283637966958
341200	1.99267311557781
341300	2
341500	1.73557907711511
341600	2
341700	1.28522252969081
341800	1.32437251105758
350100	0.530082063824157
350200	1.48322065309674
350300	2
350400	1.49751881314275
350500	0.686637631646264
350600	1.2420161283641
350700	1.29910299609461
350800	1.77526189231029
350900	1.53757936596237
360100	0.644660047676171
360200	0.871229314888625
360300	0.837587581802549
360400	1.38421768221878
360500	1.37990264978178
360600	1.25764441834285
360700	1.21863445263375
360800	1.70436355697953
360900	1.43635056306414
361000	1.36130604833552
361100	1.20299243787245
370100	2
370200	0.5
370300	1.2745895377025
370400	1.51899815967056
370500	1.28925272227823
370600	1.19609770970115
370700	1.58595868432963
370800	1.66086096009352
370900	1.61142355917977
371000	0.95374660009511
371100	1.71711918922827
